BEFORE 3 	AFTER 0 
BEFORE 49163 	AFTER 12 
BEFORE 4099 	AFTER 1 
BEFORE 102411 	AFTER 25 
BEFORE 16395 	AFTER 4 
BEFORE 36875 	AFTER 9 
BEFORE 192523 	AFTER 47 
BEFORE 20491 	AFTER 5 
BEFORE 200715 	AFTER 49 
BEFORE 102411 	AFTER 25 
BEFORE 90123 	AFTER 22 
BEFORE 16395 	AFTER 4 
BEFORE 4099 	AFTER 1 
BEFORE 12299 	AFTER 3 
BEFORE 20491 	AFTER 5 
BEFORE 49163 	AFTER 12 
BEFORE 192523 	AFTER 47 
BEFORE 49163 	AFTER 12 
BEFORE 20491 	AFTER 5 
BEFORE 4099 	AFTER 1 
BEFORE 102411 	AFTER 25 
BEFORE 200715 	AFTER 49 
BEFORE 90123 	AFTER 22 
BEFORE 16395 	AFTER 4 
BEFORE 12299 	AFTER 3 
BEFORE 102411 	AFTER 25 
BEFORE 16395 	AFTER 4 
BEFORE 4099 	AFTER 1 
BEFORE 20491 	AFTER 5 
BEFORE 49163 	AFTER 12 
BEFORE 192523 	AFTER 47 
BEFORE 200715 	AFTER 49 
BEFORE 184331 	AFTER 45 
BEFORE 102411 	AFTER 25 
BEFORE 90123 	AFTER 22 
BEFORE 200715 	AFTER 49 
BEFORE 4099 	AFTER 1 
BEFORE 20491 	AFTER 5 
BEFORE 16395 	AFTER 4 
BEFORE 45067 	AFTER 11 
BEFORE 36875 	AFTER 9 
BEFORE 45067 	AFTER 11 
BEFORE 12299 	AFTER 3 
BEFORE 4099 	AFTER 1 
BEFORE 49163 	AFTER 12 
BEFORE 102411 	AFTER 25 
BEFORE 90123 	AFTER 22 
BEFORE 184331 	AFTER 45 
BEFORE 200715 	AFTER 49 
BEFORE 102411 	AFTER 25 
BEFORE 204811 	AFTER 50 
BEFORE 4099 	AFTER 1 
BEFORE 184331 	AFTER 45 
BEFORE 90123 	AFTER 22 
BEFORE 16395 	AFTER 4 
BEFORE 12299 	AFTER 3 
BEFORE 20491 	AFTER 5 
BEFORE 102411 	AFTER 25 
BEFORE 4099 	AFTER 1 
BEFORE 16395 	AFTER 4 
BEFORE 45067 	AFTER 11 
BEFORE 36875 	AFTER 9 
BEFORE 12299 	AFTER 3 
BEFORE 204811 	AFTER 50 
BEFORE 53259 	AFTER 13 
BEFORE 4099 	AFTER 1 
BEFORE 94219 	AFTER 23 
BEFORE 36875 	AFTER 9 
BEFORE 69643 	AFTER 17 
BEFORE 16395 	AFTER 4 
BEFORE 20491 	AFTER 5 
BEFORE 45067 	AFTER 11 
BEFORE 204811 	AFTER 50 
BEFORE 20491 	AFTER 5 
BEFORE 16395 	AFTER 4 
BEFORE 36875 	AFTER 9 
BEFORE 90123 	AFTER 22 
BEFORE 4099 	AFTER 1 
BEFORE 176139 	AFTER 43 
BEFORE 45067 	AFTER 11 
BEFORE 12299 	AFTER 3 
BEFORE 45067 	AFTER 11 
BEFORE 4099 	AFTER 1 
BEFORE 49163 	AFTER 12 
BEFORE 36875 	AFTER 9 
BEFORE 176139 	AFTER 43 
BEFORE 204811 	AFTER 50 
BEFORE 208907 	AFTER 51 
BEFORE 16395 	AFTER 4 
BEFORE 176139 	AFTER 43 
BEFORE 4099 	AFTER 1 
BEFORE 20491 	AFTER 5 
BEFORE 45067 	AFTER 11 
BEFORE 36875 	AFTER 9 
BEFORE 208907 	AFTER 51 
BEFORE 204811 	AFTER 50 
BEFORE 3 	AFTER 0 
BEFORE 36875 	AFTER 9 
BEFORE 4099 	AFTER 1 
BEFORE 69643 	AFTER 17 
BEFORE 53259 	AFTER 13 
BEFORE 12299 	AFTER 3 
BEFORE 204811 	AFTER 50 
BEFORE 16395 	AFTER 4 
BEFORE 90123 	AFTER 22 
BEFORE 69643 	AFTER 17 
BEFORE 16395 	AFTER 4 
BEFORE 36875 	AFTER 9 
BEFORE 98315 	AFTER 24 
BEFORE 12299 	AFTER 3 
BEFORE 4099 	AFTER 1 
BEFORE 28683 	AFTER 7 
BEFORE 131083 	AFTER 32 
BEFORE 90123 	AFTER 22 
BEFORE 4099 	AFTER 1 
BEFORE 28683 	AFTER 7 
BEFORE 12299 	AFTER 3 
BEFORE 184331 	AFTER 45 
BEFORE 200715 	AFTER 49 
BEFORE 213003 	AFTER 52 
BEFORE 217099 	AFTER 53 
BEFORE 28683 	AFTER 7 
BEFORE 213003 	AFTER 52 
BEFORE 221195 	AFTER 54 
BEFORE 225291 	AFTER 55 
BEFORE 229387 	AFTER 56 
BEFORE 233483 	AFTER 57 
BEFORE 237579 	AFTER 58 
BEFORE 241675 	AFTER 59 
BEFORE 28683 	AFTER 7 
BEFORE 233483 	AFTER 57 
BEFORE 184331 	AFTER 45 
BEFORE 245771 	AFTER 60 
BEFORE 249867 	AFTER 61 
BEFORE 253963 	AFTER 62 
BEFORE 180235 	AFTER 44 
BEFORE 90123 	AFTER 22 
BEFORE 28683 	AFTER 7 
BEFORE 184331 	AFTER 45 
BEFORE 4099 	AFTER 1 
BEFORE 253963 	AFTER 62 
BEFORE 192523 	AFTER 47 
BEFORE 258059 	AFTER 63 
BEFORE 131083 	AFTER 32 
BEFORE 204811 	AFTER 50 
BEFORE 28683 	AFTER 7 
BEFORE 258059 	AFTER 63 
BEFORE 4099 	AFTER 1 
BEFORE 262155 	AFTER 64 
BEFORE 266251 	AFTER 65 
BEFORE 16395 	AFTER 4 
BEFORE 90123 	AFTER 22 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 36875 	AFTER 9 
BEFORE 90123 	AFTER 22 
BEFORE 12299 	AFTER 3 
BEFORE 73739 	AFTER 18 
BEFORE 65539 	AFTER 16 
BEFORE 204811 	AFTER 50 
BEFORE 118795 	AFTER 29 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 90123 	AFTER 22 
BEFORE 122891 	AFTER 30 
BEFORE 204811 	AFTER 50 
BEFORE 12299 	AFTER 3 
BEFORE 184331 	AFTER 45 
BEFORE 188427 	AFTER 46 
BEFORE 135179 	AFTER 33 
BEFORE 90123 	AFTER 22 
BEFORE 262155 	AFTER 64 
BEFORE 270347 	AFTER 66 
BEFORE 4099 	AFTER 1 
BEFORE 258059 	AFTER 63 
BEFORE 192523 	AFTER 47 
BEFORE 204811 	AFTER 50 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 49163 	AFTER 12 
BEFORE 192523 	AFTER 47 
BEFORE 262155 	AFTER 64 
BEFORE 258059 	AFTER 63 
BEFORE 90123 	AFTER 22 
BEFORE 12299 	AFTER 3 
BEFORE 262155 	AFTER 64 
BEFORE 4099 	AFTER 1 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 258059 	AFTER 63 
BEFORE 131083 	AFTER 32 
BEFORE 40971 	AFTER 10 
BEFORE 253963 	AFTER 62 
BEFORE 131083 	AFTER 32 
BEFORE 4099 	AFTER 1 
BEFORE 213003 	AFTER 52 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 192523 	AFTER 47 
BEFORE 274443 	AFTER 67 
BEFORE 204811 	AFTER 50 
BEFORE 28683 	AFTER 7 
BEFORE 274443 	AFTER 67 
BEFORE 4099 	AFTER 1 
BEFORE 262155 	AFTER 64 
BEFORE 278539 	AFTER 68 
BEFORE 16395 	AFTER 4 
BEFORE 90123 	AFTER 22 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 36875 	AFTER 9 
BEFORE 90123 	AFTER 22 
BEFORE 12299 	AFTER 3 
BEFORE 73739 	AFTER 18 
BEFORE 65539 	AFTER 16 
BEFORE 204811 	AFTER 50 
BEFORE 118795 	AFTER 29 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 90123 	AFTER 22 
BEFORE 122891 	AFTER 30 
BEFORE 204811 	AFTER 50 
BEFORE 12299 	AFTER 3 
BEFORE 184331 	AFTER 45 
BEFORE 188427 	AFTER 46 
BEFORE 135179 	AFTER 33 
BEFORE 90123 	AFTER 22 
BEFORE 262155 	AFTER 64 
BEFORE 282635 	AFTER 69 
BEFORE 286731 	AFTER 70 
BEFORE 4099 	AFTER 1 
BEFORE 274443 	AFTER 67 
BEFORE 192523 	AFTER 47 
BEFORE 135179 	AFTER 33 
BEFORE 90123 	AFTER 22 
BEFORE 204811 	AFTER 50 
BEFORE 4099 	AFTER 1 
BEFORE 49163 	AFTER 12 
BEFORE 262155 	AFTER 64 
BEFORE 274443 	AFTER 67 
BEFORE 12299 	AFTER 3 
BEFORE 262155 	AFTER 64 
BEFORE 4099 	AFTER 1 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 274443 	AFTER 67 
BEFORE 131083 	AFTER 32 
BEFORE 40971 	AFTER 10 
BEFORE 253963 	AFTER 62 
BEFORE 131083 	AFTER 32 
BEFORE 4099 	AFTER 1 
BEFORE 184331 	AFTER 45 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 192523 	AFTER 47 
BEFORE 286731 	AFTER 70 
BEFORE 40971 	AFTER 10 
BEFORE 131083 	AFTER 32 
BEFORE 4099 	AFTER 1 
BEFORE 90123 	AFTER 22 
BEFORE 253963 	AFTER 62 
BEFORE 286731 	AFTER 70 
BEFORE 184331 	AFTER 45 
BEFORE 28683 	AFTER 7 
BEFORE 192523 	AFTER 47 
BEFORE 28683 	AFTER 7 
BEFORE 4099 	AFTER 1 
BEFORE 286731 	AFTER 70 
BEFORE 90123 	AFTER 22 
BEFORE 131083 	AFTER 32 
BEFORE 40971 	AFTER 10 
BEFORE 253963 	AFTER 62 
BEFORE 184331 	AFTER 45 
BEFORE 131083 	AFTER 32 
BEFORE 4099 	AFTER 1 
BEFORE 28683 	AFTER 7 
BEFORE 253963 	AFTER 62 
BEFORE 90123 	AFTER 22 
BEFORE 192523 	AFTER 47 
BEFORE 286731 	AFTER 70 
BEFORE 40971 	AFTER 10 
BEFORE 131083 	AFTER 32 
BEFORE 90123 	AFTER 22 
BEFORE 184331 	AFTER 45 
BEFORE 4099 	AFTER 1 
BEFORE 28683 	AFTER 7 
BEFORE 253963 	AFTER 62 
BEFORE 192523 	AFTER 47 
BEFORE 286731 	AFTER 70 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 131083 	AFTER 32 
BEFORE 40971 	AFTER 10 
BEFORE 4099 	AFTER 1 
BEFORE 253963 	AFTER 62 
BEFORE 184331 	AFTER 45 
BEFORE 192523 	AFTER 47 
BEFORE 28683 	AFTER 7 
BEFORE 4099 	AFTER 1 
BEFORE 286731 	AFTER 70 
BEFORE 90123 	AFTER 22 
BEFORE 131083 	AFTER 32 
BEFORE 40971 	AFTER 10 
BEFORE 253963 	AFTER 62 
BEFORE 184331 	AFTER 45 
BEFORE 131083 	AFTER 32 
BEFORE 4099 	AFTER 1 
BEFORE 28683 	AFTER 7 
BEFORE 253963 	AFTER 62 
BEFORE 90123 	AFTER 22 
BEFORE 192523 	AFTER 47 
BEFORE 286731 	AFTER 70 
BEFORE 40971 	AFTER 10 
BEFORE 131083 	AFTER 32 
BEFORE 4099 	AFTER 1 
BEFORE 90123 	AFTER 22 
BEFORE 253963 	AFTER 62 
BEFORE 286731 	AFTER 70 
BEFORE 184331 	AFTER 45 
BEFORE 28683 	AFTER 7 
BEFORE 192523 	AFTER 47 
BEFORE 28683 	AFTER 7 
BEFORE 4099 	AFTER 1 
BEFORE 286731 	AFTER 70 
BEFORE 90123 	AFTER 22 
BEFORE 131083 	AFTER 32 
BEFORE 40971 	AFTER 10 
BEFORE 253963 	AFTER 62 
BEFORE 184331 	AFTER 45 
BEFORE 131083 	AFTER 32 
BEFORE 4099 	AFTER 1 
BEFORE 28683 	AFTER 7 
BEFORE 253963 	AFTER 62 
BEFORE 90123 	AFTER 22 
BEFORE 192523 	AFTER 47 
BEFORE 286731 	AFTER 70 
BEFORE 40971 	AFTER 10 
BEFORE 131083 	AFTER 32 
BEFORE 4099 	AFTER 1 
BEFORE 90123 	AFTER 22 
BEFORE 253963 	AFTER 62 
BEFORE 286731 	AFTER 70 
BEFORE 184331 	AFTER 45 
BEFORE 28683 	AFTER 7 
BEFORE 192523 	AFTER 47 
BEFORE 28683 	AFTER 7 
BEFORE 4099 	AFTER 1 
BEFORE 286731 	AFTER 70 
BEFORE 90123 	AFTER 22 
BEFORE 131083 	AFTER 32 
BEFORE 40971 	AFTER 10 
BEFORE 253963 	AFTER 62 
BEFORE 184331 	AFTER 45 
BEFORE 131083 	AFTER 32 
BEFORE 4099 	AFTER 1 
BEFORE 28683 	AFTER 7 
BEFORE 253963 	AFTER 62 
BEFORE 90123 	AFTER 22 
BEFORE 192523 	AFTER 47 
BEFORE 286731 	AFTER 70 
BEFORE 40971 	AFTER 10 
BEFORE 131083 	AFTER 32 
BEFORE 4099 	AFTER 1 
BEFORE 90123 	AFTER 22 
BEFORE 253963 	AFTER 62 
BEFORE 286731 	AFTER 70 
BEFORE 184331 	AFTER 45 
BEFORE 28683 	AFTER 7 
BEFORE 192523 	AFTER 47 
BEFORE 28683 	AFTER 7 
BEFORE 4099 	AFTER 1 
BEFORE 286731 	AFTER 70 
BEFORE 90123 	AFTER 22 
BEFORE 131083 	AFTER 32 
BEFORE 40971 	AFTER 10 
BEFORE 253963 	AFTER 62 
BEFORE 184331 	AFTER 45 
BEFORE 131083 	AFTER 32 
BEFORE 4099 	AFTER 1 
BEFORE 28683 	AFTER 7 
BEFORE 253963 	AFTER 62 
BEFORE 90123 	AFTER 22 
BEFORE 192523 	AFTER 47 
BEFORE 290827 	AFTER 71 
BEFORE 204811 	AFTER 50 
BEFORE 28683 	AFTER 7 
BEFORE 290827 	AFTER 71 
BEFORE 4099 	AFTER 1 
BEFORE 262155 	AFTER 64 
BEFORE 294923 	AFTER 72 
BEFORE 16395 	AFTER 4 
BEFORE 90123 	AFTER 22 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 36875 	AFTER 9 
BEFORE 90123 	AFTER 22 
BEFORE 12299 	AFTER 3 
BEFORE 73739 	AFTER 18 
BEFORE 65539 	AFTER 16 
BEFORE 204811 	AFTER 50 
BEFORE 118795 	AFTER 29 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 90123 	AFTER 22 
BEFORE 122891 	AFTER 30 
BEFORE 204811 	AFTER 50 
BEFORE 12299 	AFTER 3 
BEFORE 184331 	AFTER 45 
BEFORE 188427 	AFTER 46 
BEFORE 135179 	AFTER 33 
BEFORE 90123 	AFTER 22 
BEFORE 262155 	AFTER 64 
BEFORE 282635 	AFTER 69 
BEFORE 270347 	AFTER 66 
BEFORE 4099 	AFTER 1 
BEFORE 290827 	AFTER 71 
BEFORE 192523 	AFTER 47 
BEFORE 135179 	AFTER 33 
BEFORE 90123 	AFTER 22 
BEFORE 204811 	AFTER 50 
BEFORE 4099 	AFTER 1 
BEFORE 49163 	AFTER 12 
BEFORE 262155 	AFTER 64 
BEFORE 290827 	AFTER 71 
BEFORE 12299 	AFTER 3 
BEFORE 262155 	AFTER 64 
BEFORE 4099 	AFTER 1 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 290827 	AFTER 71 
BEFORE 131083 	AFTER 32 
BEFORE 40971 	AFTER 10 
BEFORE 253963 	AFTER 62 
BEFORE 131083 	AFTER 32 
BEFORE 4099 	AFTER 1 
BEFORE 184331 	AFTER 45 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 192523 	AFTER 47 
BEFORE 274443 	AFTER 67 
BEFORE 204811 	AFTER 50 
BEFORE 28683 	AFTER 7 
BEFORE 274443 	AFTER 67 
BEFORE 4099 	AFTER 1 
BEFORE 262155 	AFTER 64 
BEFORE 294923 	AFTER 72 
BEFORE 16395 	AFTER 4 
BEFORE 90123 	AFTER 22 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 36875 	AFTER 9 
BEFORE 90123 	AFTER 22 
BEFORE 12299 	AFTER 3 
BEFORE 73739 	AFTER 18 
BEFORE 65539 	AFTER 16 
BEFORE 204811 	AFTER 50 
BEFORE 118795 	AFTER 29 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 90123 	AFTER 22 
BEFORE 122891 	AFTER 30 
BEFORE 204811 	AFTER 50 
BEFORE 12299 	AFTER 3 
BEFORE 184331 	AFTER 45 
BEFORE 188427 	AFTER 46 
BEFORE 135179 	AFTER 33 
BEFORE 90123 	AFTER 22 
BEFORE 262155 	AFTER 64 
BEFORE 282635 	AFTER 69 
BEFORE 286731 	AFTER 70 
BEFORE 4099 	AFTER 1 
BEFORE 274443 	AFTER 67 
BEFORE 192523 	AFTER 47 
BEFORE 135179 	AFTER 33 
BEFORE 90123 	AFTER 22 
BEFORE 204811 	AFTER 50 
BEFORE 4099 	AFTER 1 
BEFORE 49163 	AFTER 12 
BEFORE 262155 	AFTER 64 
BEFORE 274443 	AFTER 67 
BEFORE 12299 	AFTER 3 
BEFORE 262155 	AFTER 64 
BEFORE 4099 	AFTER 1 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 274443 	AFTER 67 
BEFORE 131083 	AFTER 32 
BEFORE 40971 	AFTER 10 
BEFORE 253963 	AFTER 62 
BEFORE 131083 	AFTER 32 
BEFORE 4099 	AFTER 1 
BEFORE 184331 	AFTER 45 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 192523 	AFTER 47 
BEFORE 299019 	AFTER 73 
BEFORE 204811 	AFTER 50 
BEFORE 28683 	AFTER 7 
BEFORE 299019 	AFTER 73 
BEFORE 4099 	AFTER 1 
BEFORE 262155 	AFTER 64 
BEFORE 294923 	AFTER 72 
BEFORE 16395 	AFTER 4 
BEFORE 90123 	AFTER 22 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 36875 	AFTER 9 
BEFORE 90123 	AFTER 22 
BEFORE 12299 	AFTER 3 
BEFORE 73739 	AFTER 18 
BEFORE 65539 	AFTER 16 
BEFORE 204811 	AFTER 50 
BEFORE 118795 	AFTER 29 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 90123 	AFTER 22 
BEFORE 122891 	AFTER 30 
BEFORE 204811 	AFTER 50 
BEFORE 12299 	AFTER 3 
BEFORE 184331 	AFTER 45 
BEFORE 188427 	AFTER 46 
BEFORE 135179 	AFTER 33 
BEFORE 90123 	AFTER 22 
BEFORE 262155 	AFTER 64 
BEFORE 282635 	AFTER 69 
BEFORE 286731 	AFTER 70 
BEFORE 4099 	AFTER 1 
BEFORE 299019 	AFTER 73 
BEFORE 192523 	AFTER 47 
BEFORE 135179 	AFTER 33 
BEFORE 90123 	AFTER 22 
BEFORE 204811 	AFTER 50 
BEFORE 4099 	AFTER 1 
BEFORE 49163 	AFTER 12 
BEFORE 262155 	AFTER 64 
BEFORE 299019 	AFTER 73 
BEFORE 12299 	AFTER 3 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 262155 	AFTER 64 
BEFORE 299019 	AFTER 73 
BEFORE 90123 	AFTER 22 
BEFORE 28683 	AFTER 7 
BEFORE 131083 	AFTER 32 
BEFORE 40971 	AFTER 10 
BEFORE 131083 	AFTER 32 
BEFORE 253963 	AFTER 62 
BEFORE 4099 	AFTER 1 
BEFORE 184331 	AFTER 45 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 200715 	AFTER 49 
BEFORE 303115 	AFTER 74 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 131083 	AFTER 32 
BEFORE 204811 	AFTER 50 
BEFORE 4099 	AFTER 1 
BEFORE 262155 	AFTER 64 
BEFORE 307211 	AFTER 75 
BEFORE 16395 	AFTER 4 
BEFORE 262155 	AFTER 64 
BEFORE 4099 	AFTER 1 
BEFORE 90123 	AFTER 22 
BEFORE 135179 	AFTER 33 
BEFORE 36875 	AFTER 9 
BEFORE 12299 	AFTER 3 
BEFORE 73739 	AFTER 18 
BEFORE 65539 	AFTER 16 
BEFORE 135179 	AFTER 33 
BEFORE 36875 	AFTER 9 
BEFORE 4099 	AFTER 1 
BEFORE 204811 	AFTER 50 
BEFORE 90123 	AFTER 22 
BEFORE 12299 	AFTER 3 
BEFORE 118795 	AFTER 29 
BEFORE 122891 	AFTER 30 
BEFORE 135179 	AFTER 33 
BEFORE 90123 	AFTER 22 
BEFORE 4099 	AFTER 1 
BEFORE 204811 	AFTER 50 
BEFORE 12299 	AFTER 3 
BEFORE 184331 	AFTER 45 
BEFORE 188427 	AFTER 46 
BEFORE 262155 	AFTER 64 
BEFORE 90123 	AFTER 22 
BEFORE 282635 	AFTER 69 
BEFORE 286731 	AFTER 70 
BEFORE 4099 	AFTER 1 
BEFORE 135179 	AFTER 33 
BEFORE 303115 	AFTER 74 
BEFORE 200715 	AFTER 49 
BEFORE 204811 	AFTER 50 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 49163 	AFTER 12 
BEFORE 192523 	AFTER 47 
BEFORE 262155 	AFTER 64 
BEFORE 303115 	AFTER 74 
BEFORE 90123 	AFTER 22 
BEFORE 12299 	AFTER 3 
BEFORE 262155 	AFTER 64 
BEFORE 4099 	AFTER 1 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 303115 	AFTER 74 
BEFORE 131083 	AFTER 32 
BEFORE 40971 	AFTER 10 
BEFORE 253963 	AFTER 62 
BEFORE 131083 	AFTER 32 
BEFORE 4099 	AFTER 1 
BEFORE 184331 	AFTER 45 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 192523 	AFTER 47 
BEFORE 311307 	AFTER 76 
BEFORE 204811 	AFTER 50 
BEFORE 28683 	AFTER 7 
BEFORE 311307 	AFTER 76 
BEFORE 4099 	AFTER 1 
BEFORE 262155 	AFTER 64 
BEFORE 307211 	AFTER 75 
BEFORE 16395 	AFTER 4 
BEFORE 90123 	AFTER 22 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 36875 	AFTER 9 
BEFORE 90123 	AFTER 22 
BEFORE 12299 	AFTER 3 
BEFORE 73739 	AFTER 18 
BEFORE 65539 	AFTER 16 
BEFORE 204811 	AFTER 50 
BEFORE 118795 	AFTER 29 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 90123 	AFTER 22 
BEFORE 122891 	AFTER 30 
BEFORE 204811 	AFTER 50 
BEFORE 12299 	AFTER 3 
BEFORE 184331 	AFTER 45 
BEFORE 188427 	AFTER 46 
BEFORE 135179 	AFTER 33 
BEFORE 90123 	AFTER 22 
BEFORE 262155 	AFTER 64 
BEFORE 270347 	AFTER 66 
BEFORE 4099 	AFTER 1 
BEFORE 311307 	AFTER 76 
BEFORE 192523 	AFTER 47 
BEFORE 204811 	AFTER 50 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 49163 	AFTER 12 
BEFORE 192523 	AFTER 47 
BEFORE 262155 	AFTER 64 
BEFORE 311307 	AFTER 76 
BEFORE 90123 	AFTER 22 
BEFORE 12299 	AFTER 3 
BEFORE 262155 	AFTER 64 
BEFORE 4099 	AFTER 1 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 311307 	AFTER 76 
BEFORE 131083 	AFTER 32 
BEFORE 40971 	AFTER 10 
BEFORE 253963 	AFTER 62 
BEFORE 131083 	AFTER 32 
BEFORE 4099 	AFTER 1 
BEFORE 184331 	AFTER 45 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 192523 	AFTER 47 
BEFORE 274443 	AFTER 67 
BEFORE 204811 	AFTER 50 
BEFORE 28683 	AFTER 7 
BEFORE 274443 	AFTER 67 
BEFORE 4099 	AFTER 1 
BEFORE 262155 	AFTER 64 
BEFORE 307211 	AFTER 75 
BEFORE 16395 	AFTER 4 
BEFORE 90123 	AFTER 22 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 36875 	AFTER 9 
BEFORE 90123 	AFTER 22 
BEFORE 12299 	AFTER 3 
BEFORE 73739 	AFTER 18 
BEFORE 65539 	AFTER 16 
BEFORE 204811 	AFTER 50 
BEFORE 118795 	AFTER 29 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 90123 	AFTER 22 
BEFORE 122891 	AFTER 30 
BEFORE 204811 	AFTER 50 
BEFORE 12299 	AFTER 3 
BEFORE 184331 	AFTER 45 
BEFORE 188427 	AFTER 46 
BEFORE 135179 	AFTER 33 
BEFORE 90123 	AFTER 22 
BEFORE 262155 	AFTER 64 
BEFORE 282635 	AFTER 69 
BEFORE 286731 	AFTER 70 
BEFORE 4099 	AFTER 1 
BEFORE 274443 	AFTER 67 
BEFORE 192523 	AFTER 47 
BEFORE 135179 	AFTER 33 
BEFORE 90123 	AFTER 22 
BEFORE 204811 	AFTER 50 
BEFORE 4099 	AFTER 1 
BEFORE 49163 	AFTER 12 
BEFORE 262155 	AFTER 64 
BEFORE 274443 	AFTER 67 
BEFORE 12299 	AFTER 3 
BEFORE 262155 	AFTER 64 
BEFORE 4099 	AFTER 1 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 274443 	AFTER 67 
BEFORE 131083 	AFTER 32 
BEFORE 40971 	AFTER 10 
BEFORE 253963 	AFTER 62 
BEFORE 131083 	AFTER 32 
BEFORE 4099 	AFTER 1 
BEFORE 184331 	AFTER 45 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 192523 	AFTER 47 
BEFORE 315403 	AFTER 77 
BEFORE 204811 	AFTER 50 
BEFORE 28683 	AFTER 7 
BEFORE 315403 	AFTER 77 
BEFORE 4099 	AFTER 1 
BEFORE 262155 	AFTER 64 
BEFORE 307211 	AFTER 75 
BEFORE 16395 	AFTER 4 
BEFORE 90123 	AFTER 22 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 36875 	AFTER 9 
BEFORE 90123 	AFTER 22 
BEFORE 12299 	AFTER 3 
BEFORE 73739 	AFTER 18 
BEFORE 65539 	AFTER 16 
BEFORE 204811 	AFTER 50 
BEFORE 118795 	AFTER 29 
BEFORE 135179 	AFTER 33 
BEFORE 4099 	AFTER 1 
BEFORE 90123 	AFTER 22 
BEFORE 122891 	AFTER 30 
BEFORE 204811 	AFTER 50 
BEFORE 12299 	AFTER 3 
BEFORE 184331 	AFTER 45 
BEFORE 188427 	AFTER 46 
BEFORE 135179 	AFTER 33 
BEFORE 90123 	AFTER 22 
BEFORE 262155 	AFTER 64 
BEFORE 282635 	AFTER 69 
BEFORE 270347 	AFTER 66 
BEFORE 4099 	AFTER 1 
BEFORE 315403 	AFTER 77 
BEFORE 192523 	AFTER 47 
BEFORE 135179 	AFTER 33 
BEFORE 90123 	AFTER 22 
BEFORE 204811 	AFTER 50 
BEFORE 4099 	AFTER 1 
BEFORE 49163 	AFTER 12 
BEFORE 262155 	AFTER 64 
BEFORE 315403 	AFTER 77 
BEFORE 12299 	AFTER 3 
BEFORE 262155 	AFTER 64 
BEFORE 4099 	AFTER 1 
BEFORE 28683 	AFTER 7 
BEFORE 90123 	AFTER 22 
BEFORE 315403 	AFTER 77 
BEFORE 131083 	AFTER 32 
BEFORE 40971 	AFTER 10 
BEFORE 253963 	AFTER 62 
